text,actual,predicted,confidence
"""@united flight landed 13 hours ago",negative,neutral,0.6492874622344971
@AmericanAir Am I upgraded on my next flight?,neutral,negative,0.9958440661430359
@united that's cool - now what?,negative,positive,0.9997935891151428
"""@JetBlue offers free flights for """"Fly it Forward"""" campaign http://t.co/Yh1KZkYZrR http://t.co/wmO6tKqhXp via @usatodaytravel #travel #cause""",neutral,negative,0.9872586131095886
@JetBlue #jetblue #sofly #wish #firststari seetonight http://t.co/pyJAoayNx6,neutral,negative,0.9887484312057495
@AmericanAir second pic from CDG?,neutral,negative,0.9962940812110901
"""@AmericanAir - yep ",positive,negative,0.9813408851623535
"""@USAirways wanted to connect to discuss sponsorship opportunities with http://t.co/q6Xedzvhh9",neutral,negative,0.9705935120582581
@usairways Is it possible to Cancelled Flight my reservation online?,neutral,negative,0.9990054965019226
"""Lol",neutral,positive,0.9429269433021545
"""@AmericanAir #epicfail on connections in #Chicago today",neutral,positive,0.920906662940979
@united UA1469. Just landed.,neutral,negative,0.9779905080795288
@SouthwestAir knows whats up! That #BlackHistoryMonth commercial. Just another thing to add to reasons why I fly with #SouthWestAirlines,positive,negative,0.896569550037384
"""@JetBlue 1st flight of the morning",neutral,positive,0.852333664894104
“@JetBlue: Our fleet's on fleek. http://t.co/mpi4yuo9jR” Oh word!!!!??????,neutral,negative,0.9956067204475403
@AmericanAir Considering it was purchased on the 21st and I attempted to use it again on the 21st I believe it would fit these parameters.,neutral,negative,0.9665605425834656
@USAirways but question :  if the downgrade include losing first class do you get money back ? http://t.co/LfT7QD23Sy,neutral,negative,0.998397171497345
"""@southwestair Hi",neutral,negative,0.7203516364097595
@USAirways flight 1783 CLT to BOS,neutral,negative,0.7125198841094971
@SouthwestAir On flight 771 tomorrow (Wed 2/18) DEN-BNA. Will we be delayed or Cancelled Flightled?,neutral,negative,0.997831404209137
@united ok. Can I DM you the info?,neutral,positive,0.9851773977279663
@SouthwestAir to start 2xdaily #B737-700 flights from #OrangeCounty to #Portland OR on 8AUG #avgeek,neutral,negative,0.9694566130638123
@united #LAX #sunrise UAL212 LAX-JFK,neutral,negative,0.9916077852249146
"""@AmericanAir When Flight Booking Problems an int'l flight online",neutral,negative,0.9837806224822998
