text,sentiment
my group got their Cancelled Flightlation fees waived but I can't because my ticket is booked for 2/18? Your reps were no help either 😡,airlinetweets/negative
As one of the travelers affected by the Boston storm,airlinetweets/negative
Grouping Virgin in with the others now. BOS weather has exposed their actual Cus Serv model. Never Flight Booking Problems with Virgin again!,airlinetweets/negative
While other airlines weren't Cancelled Flighting flights into BOS,airlinetweets/negative
started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.,airlinetweets/negative
Man of steel flies to more cities though...and with more frequency too.,airlinetweets/negative
Why is it taking 12 years to fly home to Dallas? Get your shit together.,airlinetweets/negative
I have lots of flights to book and your site it not working!!!! I've been on the phone waiting for over 10 minutes..........,airlinetweets/negative
All of group E was told there was no more room in the bins. when I got on the plane,airlinetweets/negative
Had to spend 5 hours worrying that items in carryon would be broken/stolen since I couldn't carry them on plane or lock bag.,airlinetweets/negative
Never had a bad experience before,airlinetweets/negative
I tried that. You offered to charge me an additional $1k for a new ticket or be stranded until Thurs. 1st time,airlinetweets/negative
Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.,airlinetweets/negative
kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers,airlinetweets/negative
Your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname. #apostrophefail,airlinetweets/negative
how come you don't have an iPhone app? Still using and making me waste paper.,airlinetweets/negative
Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement. Cust Svc no help!!!,airlinetweets/negative
I am in seat 4C and I cannot even open my laptop; and I paid extra for this seat!!,airlinetweets/negative
I cannot even open my laptop in seat 4C and I paid a premium for this?!! Let me out of here!,airlinetweets/negative
,airlinetweets/negative
Comenity Bank is a joke! Please change. Nothing but constant problems with this bank,airlinetweets/negative
currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?,airlinetweets/negative
delayed to10.30!!,airlinetweets/negative
your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone. This sucks!,airlinetweets/negative
on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.,airlinetweets/negative
on VX399 from JFK to LA - dirty plane - not up to your standards.,airlinetweets/negative
MR,airlinetweets/negative
Just saying the truth. You don't even an email! #2015,airlinetweets/negative
flight UA5631 from SFO to Burbank has been delayed twice now. Still no plane in sight. Get it together.,airlinetweets/negative
